Local authority,Count date,Area code,Members
Barnet,2022-04-05,95DD01W1,x
Barnet,2022-04-05,95GG37S3,x
Barnet,2022-04-05,95GG47S3,x
Barnet,2022-04-05,95VV11S1,x
Barnet,2022-04-05,E01000002,x
Barnet,2022-04-05,E01000003,x
Barnet,2022-04-05,E01000005,x
Barnet,2022-04-05,E01000007,x
Barnet,2022-04-05,E01000010,x
Barnet,2022-04-05,E01000011,x
Barnet,2022-04-05,E01000012,x
Barnet,2022-04-05,E01000016,x
Barnet,2022-04-05,E01000019,x
Barnet,2022-04-05,E01000020,x
Barnet,2022-04-05,E01000023,x
Barnet,2022-04-05,E01000028,x
Barnet,2022-04-05,E01000030,x
Barnet,2022-04-05,E01000037,x
Barnet,2022-04-05,E01000038,x
Barnet,2022-04-05,E01000041,x
Barnet,2022-04-05,E01000042,x
Barnet,2022-04-05,E01000048,x
Barnet,2022-04-05,E01000056,x
Barnet,2022-04-05,E01000063,x
Barnet,2022-04-05,E01000064,x
Barnet,2022-04-05,E01000066,x
Barnet,2022-04-05,E01000069,x
Barnet,2022-04-05,E01000073,x
Barnet,2022-04-05,E01000078,x
Barnet,2022-04-05,E01000080,x
Barnet,2022-04-05,E01000082,x
Barnet,2022-04-05,E01000083,x
Barnet,2022-04-05,E01000085,x
Barnet,2022-04-05,E01000086,x
Barnet,2022-04-05,E01000087,x
Barnet,2022-04-05,E01000091,x
Barnet,2022-04-05,E01000092,x
Barnet,2022-04-05,E01000094,x
Barnet,2022-04-05,E01000095,x
Barnet,2022-04-05,E01000096,x
Barnet,2022-04-05,E01000102,x
Barnet,2022-04-05,E01000104,x
Barnet,2022-04-05,E01000106,x
Barnet,2022-04-05,E01000107,x
Barnet,2022-04-05,E01000113,x
Barnet,2022-04-05,E01000115,282
Barnet,2022-04-05,E01000116,647
Barnet,2022-04-05,E01000117,558
Barnet,2022-04-05,E01000118,858
Barnet,2022-04-05,E01000119,248
Barnet,2022-04-05,E01000120,416
Barnet,2022-04-05,E01000121,579
Barnet,2022-04-05,E01000122,251
Barnet,2022-04-05,E01000123,448
Barnet,2022-04-05,E01000124,326
Barnet,2022-04-05,E01000125,931
Barnet,2022-04-05,E01000126,1002
Barnet,2022-04-05,E01000127,538
Barnet,2022-04-05,E01000128,621
Barnet,2022-04-05,E01000129,586
Barnet,2022-04-05,E01000130,650
Barnet,2022-04-05,E01000131,702
Barnet,2022-04-05,E01000132,481
Barnet,2022-04-05,E01000133,543
Barnet,2022-04-05,E01000134,520
Barnet,2022-04-05,E01000135,441
Barnet,2022-04-05,E01000136,227
Barnet,2022-04-05,E01000137,611
Barnet,2022-04-05,E01000138,434
Barnet,2022-04-05,E01000139,313
Barnet,2022-04-05,E01000140,447
Barnet,2022-04-05,E01000141,249
Barnet,2022-04-05,E01000142,404
Barnet,2022-04-05,E01000143,211
Barnet,2022-04-05,E01000144,701
Barnet,2022-04-05,E01000145,620
Barnet,2022-04-05,E01000146,644
Barnet,2022-04-05,E01000147,452
Barnet,2022-04-05,E01000148,954
Barnet,2022-04-05,E01000150,515
Barnet,2022-04-05,E01000151,981
Barnet,2022-04-05,E01000152,933
Barnet,2022-04-05,E01000153,747
Barnet,2022-04-05,E01000154,956
Barnet,2022-04-05,E01000155,1875
Barnet,2022-04-05,E01000156,830
Barnet,2022-04-05,E01000157,558
Barnet,2022-04-05,E01000158,279
Barnet,2022-04-05,E01000159,354
Barnet,2022-04-05,E01000160,259
Barnet,2022-04-05,E01000161,264
Barnet,2022-04-05,E01000162,308
Barnet,2022-04-05,E01000163,478
Barnet,2022-04-05,E01000164,693
Barnet,2022-04-05,E01000165,369
Barnet,2022-04-05,E01000166,446
Barnet,2022-04-05,E01000167,478
Barnet,2022-04-05,E01000168,375
Barnet,2022-04-05,E01000169,532
Barnet,2022-04-05,E01000170,649
Barnet,2022-04-05,E01000171,830
Barnet,2022-04-05,E01000172,465
Barnet,2022-04-05,E01000173,648
Barnet,2022-04-05,E01000174,576
Barnet,2022-04-05,E01000175,549
Barnet,2022-04-05,E01000176,496
Barnet,2022-04-05,E01000177,796
Barnet,2022-04-05,E01000178,746
Barnet,2022-04-05,E01000179,637
Barnet,2022-04-05,E01000180,599
Barnet,2022-04-05,E01000181,612
Barnet,2022-04-05,E01000182,580
Barnet,2022-04-05,E01000183,414
Barnet,2022-04-05,E01000184,547
Barnet,2022-04-05,E01000185,659
Barnet,2022-04-05,E01000186,584
Barnet,2022-04-05,E01000187,624
Barnet,2022-04-05,E01000188,451
Barnet,2022-04-05,E01000189,593
Barnet,2022-04-05,E01000190,603
Barnet,2022-04-05,E01000191,611
Barnet,2022-04-05,E01000192,1065
Barnet,2022-04-05,E01000193,726
Barnet,2022-04-05,E01000194,728
Barnet,2022-04-05,E01000195,569
Barnet,2022-04-05,E01000196,1274
Barnet,2022-04-05,E01000197,841
Barnet,2022-04-05,E01000198,678
Barnet,2022-04-05,E01000199,643
Barnet,2022-04-05,E01000200,975
Barnet,2022-04-05,E01000201,488
Barnet,2022-04-05,E01000202,798
Barnet,2022-04-05,E01000203,691
Barnet,2022-04-05,E01000204,852
Barnet,2022-04-05,E01000205,313
Barnet,2022-04-05,E01000206,148
Barnet,2022-04-05,E01000207,230
Barnet,2022-04-05,E01000208,369
Barnet,2022-04-05,E01000209,318
Barnet,2022-04-05,E01000210,336
Barnet,2022-04-05,E01000211,535
Barnet,2022-04-05,E01000212,334
Barnet,2022-04-05,E01000213,162
Barnet,2022-04-05,E01000214,337
Barnet,2022-04-05,E01000215,758
Barnet,2022-04-05,E01000216,746
Barnet,2022-04-05,E01000217,515
Barnet,2022-04-05,E01000218,771
Barnet,2022-04-05,E01000219,633
Barnet,2022-04-05,E01000220,767
Barnet,2022-04-05,E01000221,349
Barnet,2022-04-05,E01000222,401
Barnet,2022-04-05,E01000223,345
Barnet,2022-04-05,E01000224,360
Barnet,2022-04-05,E01000225,576
Barnet,2022-04-05,E01000226,552
Barnet,2022-04-05,E01000227,673
Barnet,2022-04-05,E01000228,483
Barnet,2022-04-05,E01000229,514
Barnet,2022-04-05,E01000230,638
Barnet,2022-04-05,E01000231,659
Barnet,2022-04-05,E01000232,660
Barnet,2022-04-05,E01000233,706
Barnet,2022-04-05,E01000234,607
Barnet,2022-04-05,E01000235,550
Barnet,2022-04-05,E01000236,642
Barnet,2022-04-05,E01000237,748
Barnet,2022-04-05,E01000238,717
Barnet,2022-04-05,E01000239,927
Barnet,2022-04-05,E01000240,521
Barnet,2022-04-05,E01000241,694
Barnet,2022-04-05,E01000242,521
